paper_index,pmid,pmcid,doi,source,author_order,author_name,author_affiliation_numbers,author_affiliations,warnings
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,72,Peter Rijnbeek,54,"Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, The Netherlands.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,73,George Hripcsak,35,"Department of Biomedical Informatics, Columbia University Irving Medical Center, New York, NY 10032, USA, 2) New York-Presbyterian Hospital, 622 W 168 St, PH20 New York, NY 10032 USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,74,Patrick Ryan,55,Janssen R&D.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,75,Marc Suchard,56,"Department of Biostatistics, UCLA Fielding School of Public Health, University of California, Los Angeles.","PMC JATS XML failed: mismatched tag: line 268, column 6"
9,42036306,PMC13110926,10.1002/pds.70378,pubmed_xml,1,Sima Mohammadi,1,"Department of Data Science & Biostatistics, University Medical Center Utrecht (UMCU), Utrecht, the Netherlands.","PMC JATS XML failed: mismatched tag: line 129, column 6"
9,42036306,PMC13110926,10.1002/pds.70378,pubmed_xml,2,Cori Campbell,1;2,"Department of Data Science & Biostatistics, University Medical Center Utrecht (UMCU), Utrecht, the Netherlands. || Department of Health Services Research and Policy, The London School of Hygiene and Tropical Medicine, London, UK.","PMC JATS XML failed: mismatched tag: line 129, column 6"
9,42036306,PMC13110926,10.1002/pds.70378,pubmed_xml,3,Miriam C J M Sturkenboom,1,"Department of Data Science & Biostatistics, University Medical Center Utrecht (UMCU), Utrecht, the Netherlands.","PMC JATS XML failed: mismatched tag: line 129, column 6"
9,42036306,PMC13110926,10.1002/pds.70378,pubmed_xml,4,Tiago A Vaz,1,"Department of Data Science & Biostatistics, University Medical Center Utrecht (UMCU), Utrecht, the Netherlands.","PMC JATS XML failed: mismatched tag: line 129, column 6"
10,42175063,,10.3233/SHTI260390,pubmed_xml,1,Boris Delange,1,"Univ Rennes, CHU Rennes, INSERM, LTSI-UMR 1099, Rennes, France.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,2,Mirna El Ghosh,2,"Sorbonne Université, Inserm, Université Sorbonne Paris Nord, LIMICS, Paris, France.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,3,Celia Alvarez-Romero,3,"Computational Health Informatics Group. Institute of Biomedicine of Seville, IBIS/ Virgen del Rocío University Hospital/CSIC/University of Seville, Spain.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,4,Maxim Moinat,4,"Erasmus MC University Medical Center, Department of Medical Informatics, Rotterdam, The Netherlands.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,5,Paul Hilders,5,"Amsterdam UMC, Department of Intensive Care Medicine, Amsterdam, The Netherlands.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,6,Patrick Rockenschaub,6,"Institute of Clinical Epidemiology, Public Health, Health Economics, Medical Statistics, and Informatics, Medical University of Innsbruck, Innsbruck, Austria.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,7,Jan van den Brand,7,"Erasmus MC University Medical Center, Department of Adult Intensive Care, Rotterdam, The Netherlands.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,8,Michel E van Genderen,7,"Erasmus MC University Medical Center, Department of Adult Intensive Care, Rotterdam, The Netherlands.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,9,Christian Jung,8,"Medical Faculty, Department of Cardiology, Pulmonology and Vascular Medicine, Heinrich-Heine-University Dusseldorf, Dusseldorf, German and CARID (Cardiovascular Research Institute Düsseldorf), Dusseldorf, Germany.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,10,Denis Delamarre,1,"Univ Rennes, CHU Rennes, INSERM, LTSI-UMR 1099, Rennes, France.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,11,Sylvain Robert,1,"Univ Rennes, CHU Rennes, INSERM, LTSI-UMR 1099, Rennes, France.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,12,Christel Daniel,2;9,"Sorbonne Université, Inserm, Université Sorbonne Paris Nord, LIMICS, Paris, France. || Medical Information Department, Henri Mondor Teaching Hospital, Greater Paris Teaching Hospital (Assistance Publique - Hôpitaux de Paris), Creteil, France.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,13,Marc Cuggia,1,"Univ Rennes, CHU Rennes, INSERM, LTSI-UMR 1099, Rennes, France.",
10,42175063,,10.3233/SHTI260390,pubmed_xml,14,Carlos Luis Parra-Calderón,3,"Computational Health Informatics Group. Institute of Biomedicine of Seville, IBIS/ Virgen del Rocío University Hospital/CSIC/University of Seville, Spain.",
